"Species","Family","Phylum","Taxo_for_fig","Number_of_Individuals","Contigs_number","Average_length_of_contigs","SNP_number","piS","piN","piNpiS","Fit","Invasive_status","Maximal_Geoographic_Distance","Mean_Geographic_Distance","Mean_Distance_From_Equator",adult_size,mass,longevity,propagule_size,fecundity
"Abatus_agassizi","Schizasteridae","Echinodermata","Echinoderms",2,2614,167,7604,0.00727197,0.00212556,0.292295,-0.268249,0,2637465.29479939,938125.587329787,61.2774529565,2.45,9.28,NA,0.2,0.299
"Abatus_cordatus","Schizasteridae","Echinodermata","Echinoderms",8,1470,100,2989,0.00282628,0.000829958,0.293658,-0.0257053,0,874677.426492342,244883.914255201,49.9180025714,2.77,9.28,NA,0.2,0.299
"Allolobophora_chlorotica_L1","Lumbricidae","Annelida","Other",2,9445,133,87036,0.0417953,0.00429348,0.102726,-0.108575,0,13968483.5487737,735993.25553094,51.8306171862,5.5,0.3,1.25,0.0238,0.74
"Allolobophora_chlorotica_L2","Lumbricidae","Annelida","Other",8,20222,50,230609,0.0553005,0.00513112,0.0927863,0.437587,0,13968483.5487737,738650.738786427,51.8213801019,5.5,0.3,1.25,0.0238,0.74
"Allolobophora_chlorotica_L4","Lumbricidae","Annelida","Other",2,5852,135,47357,0.0378199,0.0033035,0.0873484,0.0126396,0,13968483.5487737,736144.329460593,51.834057496,5.5,0.3,1.25,0.0238,0.74
"Aporrectodea_icterica","Lumbricidae","Annelida","Other",2,3281,138,21954,0.0265455,0.00397339,0.149683,0.0395112,0,1358763.96128087,523466.605931041,51.4743171351,9.5,0.95,NA,0.0411,2.67
"Aptenodytes_patagonicus","Spheniscidae","Chordata","Vertebrates",10,2299,96,5840,0.00263499,0.000456911,0.173402,-0.0153924,0,9216300.81308897,1159946.38792706,52.8009523018,90,11800,41,90,0.0027
"Armadillidium_nasatum","Armadillidiidae","Arthropoda","Arthropods",2,5515,193,33749,0.0185015,0.00233782,0.126358,-0.0534897,0,15895001.6737585,544299.637760375,50.9896691552,1.8,0.04,3.42,0.12,0.959
"Armadillidium_vulgare","Armadillidiidae","Arthropoda","Arthropods",10,10745,108,119157,0.0187064,0.00193442,0.103409,0.247406,0,19668742.7082154,878551.137131015,50.7398641617,1.8,0.04,3.42,0.12,0.959
"Artemia_franciscana","Artemiidae","Arthropoda","Arthropods",10,8256,74,38951,0.01072,0.00132105,0.123232,0.435482,1,11372488.481114,4662503.97711813,19.11626,1,0.004,4,0.051,40
