ID_SITE|LONG_IDENTIF|LAT_IDENTIF|DATEDEBUT|ESPECE|NBMALES|NBFEMELLES|NBPARE|NBNULLIPARE|NBGORGEES|NBINDIV|NBINDETER
01PL1|5.79|46.06|10/12/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|10/19/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|10/26/2009|obsoletus/scoticus|0|4|4|0|0|4|0
01PL1|5.79|46.06|10/5/2009|lupicaris|0|11|6|5|0|11|0
01PL1|5.79|46.06|10/5/2009|obsoletus/scoticus|0|226|192|34|0|226|0
01PL1|5.79|46.06|10/5/2009|obsoletus s.st|1|0|0|0|0|1|0
01PL1|5.79|46.06|10/5/2009|pulicaris|0|14|14|0|0|14|0
01PL1|5.79|46.06|11/2/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|11/23/2009|obsoletus/scoticus|0|2|1|1|0|2|0
01PL1|5.79|46.06|11/30/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|11/9/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|12/14/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|12/7/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|2/23/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|3/16/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|3/2/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|3/23/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|3/31/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|3/9/2009|Culicoides sp.|0|0|0|0|0|0|0
01PL1|5.79|46.06|4/14/2009|chiopterus|0|14|14|0|0|14|0
01PL1|5.79|46.06|4/14/2009|newsteadi|0|1|1|0|0|1|0
01PL1|5.79|46.06|4/14/2009|obsoletus/scoticus|0|58|16|42|0|58|0
01PL1|5.79|46.06|4/14/2009|obsoletus s.st|1|0|0|0|0|1|0
01PL1|5.79|46.06|4/14/2009|pulicaris|0|17|0|17|0|17|0
01PL1|5.79|46.06|4/14/2009|punctatus|0|24|24|0|0|24|0
01PL1|5.79|46.06|4/21/2009|brunnicans|0|1|1|0|0|1|0
01PL1|5.79|46.06|4/21/2009|chiopterus|2|0|0|0|0|2|0
01PL1|5.79|46.06|4/21/2009|dewulfi|1|1|0|1|0|2|0
01PL1|5.79|46.06|4/21/2009|lupicaris|1|4|0|4|0|5|0
01PL1|5.79|46.06|4/21/2009|maritimus paucisensillatus|0|1|0|1|0|1|0
01PL1|5.79|46.06|4/21/2009|obsoletus/scoticus|0|28|12|16|0|28|0
01PL1|5.79|46.06|4/21/2009|obsoletus s.st|1|0|0|0|0|1|0
01PL1|5.79|46.06|4/21/2009|pulicaris|2|2|0|2|0|4|0
01PL1|5.79|46.06|4/28/2009|cataneii/gejgelensis|0|1|0|1|0|1|0
01PL1|5.79|46.06|4/28/2009|chiopterus|0|1|1|0|0|1|0
01PL1|5.79|46.06|4/28/2009|obsoletus/scoticus|0|1|1|0|0|1|0
01PL1|5.79|46.06|4/28/2009|obsoletus s.st|1|0|0|0|0|1|0
01PL1|5.79|46.06|4/28/2009|pictipennis|0|1|0|1|0|1|0
01PL1|5.79|46.06|4/6/2009|chiopterus|0|1|0|1|0|1|0
01PL1|5.79|46.06|4/6/2009|lupicaris|0|1|0|1|0|1|0
01PL1|5.79|46.06|4/6/2009|obsoletus/scoticus|0|3|0|3|0|3|0
01PL1|5.79|46.06|5/25/2009|achrayi|0|30|12|18|0|30|0
01PL1|5.79|46.06|5/25/2009|deltus ?|0|6|2|4|0|6|0
01PL1|5.79|46.06|5/25/2009|fascipennis|0|6|6|0|0|6|0
01PL1|5.79|46.06|5/25/2009|festivipennis|6|28|18|10|0|34|0
01PL1|5.79|46.06|5/25/2009|lupicaris|0|334|290|44|0|334|0
